operator,scenario,scenario_score,scenario_rank,scenario_rank_best,scenario_rank_worst,scenario_rank_mean,scenario_rank_std,scenario_rank_range
幽灵鲨,community_led,29.371973365617436,51.0,20.0,51.0,34.4,11.036303729057115,31.0
伊芙利特,community_led,28.754161622276026,52.0,52.0,58.0,55.2,2.2803508501982757,6.0
霍尔海雅,community_led,22.546534503631964,53.0,53.0,59.0,56.8,2.280350850198276,6.0
缄默德克萨斯,community_led,22.126311541565784,54.0,39.0,54.0,46.2,5.449770637375485,15.0
夜莺,community_led,20.74757869249395,55.0,55.0,60.0,59.0,2.23606797749979,5.0
余,community_led,19.077078288942698,56.0,47.0,56.0,52.6,3.3615472627943217,9.0
煌,community_led,17.167826876513317,57.0,44.0,57.0,50.4,4.669047011971501,13.0
夕,community_led,13.909276634382566,58.0,50.0,58.0,54.8,2.949576240750525,8.0
陈,community_led,12.832173123486683,59.0,56.0,59.0,57.6,1.1401754250991383,3.0
年,community_led,12.712999394673124,60.0,57.0,60.0,58.8,1.0954451150103326,3.0
新约能天使,content_led,95.38488700564972,1.0,1.0,1.0,1.0,0.0,0.0
维什戴尔,content_led,92.28416313559322,2.0,2.0,2.0,2.0,0.0,0.0
凯尔希·思衡托,content_led,86.47951977401131,3.0,3.0,13.0,5.0,4.47213595499958,10.0
予愿安洁莉娜,content_led,81.61622276029057,4.0,4.0,22.0,10.2,7.463243262818116,18.0
阿米娅,content_led,76.01694915254237,5.0,4.0,9.0,5.8,1.9235384061671346,5.0
塞雷娅,content_led,75.52237817796609,6.0,6.0,10.0,6.8,1.7888543819998317,4.0
凛御银灰,content_led,74.8809523809524,7.0,3.0,7.0,4.6,1.51657508881031,4.0
赤刃明霄陈,content_led,74.73365617433414,8.0,8.0,17.0,11.2,4.086563348340509,9.0
维娜·维多利亚,content_led,71.39426957223567,9.0,9.0,37.0,22.4,10.382677881933928,28.0
纯烬艾雅法拉,content_led,71.2671509281679,10.0,10.0,38.0,24.2,10.305338422390601,28.0
浊心斯卡蒂,content_led,70.52502648305084,11.0,7.0,18.0,10.6,4.505552130427524,11.0
焰狐龙梓兰,content_led,70.40758676351896,12.0,8.0,12.0,10.8,1.788854381999832,4.0
能天使,content_led,69.47629766949152,13.0,9.0,19.0,12.2,4.147288270665544,10.0
玛恩纳,content_led,69.31739936440678,14.0,12.0,16.0,13.6,1.6733200530681511,4.0
棘刺,content_led,67.07362288135592,15.0,5.0,32.0,17.2,9.757048734120374,27.0
史尔特尔,content_led,66.93591101694915,16.0,4.0,26.0,14.0,8.031189202104505,22.0
凯尔希,content_led,65.71967690677967,17.0,10.0,30.0,19.2,7.259476565152615,20.0
逻各斯,content_led,65.4488877118644,18.0,15.0,18.0,16.6,1.341640786499874,3.0
荒芜拉普兰德,content_led,63.09675141242937,19.0,19.0,28.0,21.6,3.6469165057620936,9.0
望,content_led,62.28510895883779,20.0,8.0,20.0,14.2,4.266145801540309,12.0
归溟幽灵鲨,content_led,61.033091202582725,21.0,21.0,40.0,32.0,6.9641941385920605,19.0
W,content_led,60.390625,22.0,22.0,24.0,23.0,0.7071067811865476,2.0
结城理,content_led,59.77300242130751,23.0,11.0,23.0,16.8,4.266145801540309,12.0
令,content_led,59.41009004237288,24.0,11.0,36.0,21.8,9.311283477587825,25.0
