bvid,title,owner_mid,published_at,view,like,coin,favorite,share,reply,danmaku,content_type,source_url,collected_at,source_type,is_simulated
BV1wL411n7C2,《明日方舟》夏日嘉年华特别通讯视频,161775300,2021-07-25T12:45:05+00:00,2331319,128120,40012,18700,18179,68253,35558,other_official,https://www.bilibili.com/video/BV1wL411n7C2,2026-09-11T22:18:07+00:00,official_public_aggregate,False
BV1qP4y1g738,《明日方舟》SideStory「吾导先路」活动宣传PV,161775300,2022-03-09T03:00:46+00:00,4022807,173133,68111,30617,37477,18836,19031,event_pv,https://www.bilibili.com/video/BV1qP4y1g738,2026-09-11T22:18:11+00:00,official_public_aggregate,False
BV1714y1b7cm,《明日方舟》EP - All hail Savior!,161775300,2022-08-11T03:00:00+00:00,1318243,126353,43433,28356,10825,16393,16195,music_ep,https://www.bilibili.com/video/BV1714y1b7cm,2026-09-11T22:18:27+00:00,official_public_aggregate,False
BV1YxwKeTE4t,《明日方舟》2025新春前瞻特辑视频,161775300,2025-01-18T12:35:00+00:00,1097814,58743,16410,8138,5043,6101,15121,other_official,https://www.bilibili.com/video/BV1YxwKeTE4t,2026-09-11T22:17:59+00:00,official_public_aggregate,False
BV1fr4y1v78Z,《明日方舟》2022新春前瞻特辑视频,161775300,2022-01-15T12:35:18+00:00,2149839,145735,59304,24938,19500,21293,46890,other_official,https://www.bilibili.com/video/BV1fr4y1v78Z,2026-09-11T22:18:06+00:00,official_public_aggregate,False
BV1hK41167zi,《明日方舟》2022「音律联觉-灯下定影」官方录播,161775300,2022-12-10T04:00:02+00:00,3322264,105715,78880,29430,11473,3999,23990,offline_event,https://www.bilibili.com/video/BV1hK41167zi,2026-09-11T22:17:59+00:00,official_public_aggregate,False
BV19V4y1N7ZT,《明日方舟》主题曲【淬火尘霾】开放 限时纪念活动宣传pv,161775300,2022-10-04T03:00:08+00:00,2490330,129585,41161,18773,35183,10278,10740,event_pv,https://www.bilibili.com/video/BV19V4y1N7ZT,2026-09-11T22:17:59+00:00,official_public_aggregate,False
BV1Df421q7Qp,《明日方舟》2024夏日嘉年华特别通讯视频,161775300,2024-07-27T12:35:00+00:00,1356330,71902,20977,9323,5868,9220,26981,other_official,https://www.bilibili.com/video/BV1Df421q7Qp,2026-09-11T22:17:59+00:00,official_public_aggregate,False
BV1Ds4y1A7pK,《明日方舟》四周年特别直播节目（附字幕）,161775300,2023-04-27T05:15:00+00:00,701678,58835,14707,8672,2061,1849,5628,other_official,https://www.bilibili.com/video/BV1Ds4y1A7pK,2026-09-11T22:18:15+00:00,official_public_aggregate,False
BV1Qh4y1Z7jV,《明日方舟》集成战略「探索者的银凇止境」宣传PV · 玩法介绍,161775300,2023-07-11T08:22:30+00:00,1924439,128977,48167,18005,32346,13816,24077,gameplay_system,https://www.bilibili.com/video/BV1Qh4y1Z7jV,2026-09-11T22:18:05+00:00,official_public_aggregate,False
